Life.expectancy,Year,Status,Adult.Mortality,Alcohol,BMI,Schooling,GDP,Polio,Income.composition.of.resources
71.4,2004,Developing,14,4.19,23.7,11.1,1976.45856,94,0.574
71.1,2003,Developing,144,4.16,23.2,11.3,1768.92132,93,0.572
77,2002,Developing,148,3.82,22.6,11.3,1373.515636,92,0.569
73,2001,Developing,152,3.81,22.1,11,1268.884564,91,0.562
69.9,2000,Developing,155,3.49,21.5,11.3,1239.377855,9,0
68.3,2014,Developing,179,0.01,18.9,10.9,198.687123,87,0.553
67.8,2013,Developing,183,0.01,18.2,10.8,128.419568,66,0.546
67.4,2012,Developing,186,0.01,17.6,10.7,95.244132,84,0.54
67,2011,Developing,19,2.12,17,10.7,882.491462,87,0.533
66.6,2010,Developing,192,2.2,16.4,10.6,785.6928841,88,0.519
66.1,2009,Developing,195,2.13,15.9,10.5,738.2326684,95,0.52
65.6,2008,Developing,199,2.24,15.3,10.5,745.7877873,91,0.511
65,2007,Developing,24,2.08,14.8,10.3,631.675789,82,0.495
64.1,2006,Developing,216,2.03,14.3,10.1,539.8791529,8,0.483
62.9,2005,Developing,234,1.99,13.9,10,474.2238766,82,0.47
61.5,2004,Developing,253,1.38,13.5,9.7,48.615184,86,0.458
63,2003,Developing,268,1.44,13.1,9.3,362.4213785,69,0.445
59.3,2002,Developing,273,1.43,12.8,8.2,339.676984,54,0.427
58.5,2001,Developing,273,1.71,12.4,7.6,321.22634,59,0.412
57.7,2000,Developing,274,1.51,12.1,7.2,3.685949,62,0.401
56.7,2014,Developing,366,0.01,28.4,10.4,1441.1417,86,0.507
56.4,2013,Developing,364,0.01,27.8,10.4,1365.34419,88,0.501
55.9,2012,Developing,369,0.01,27.2,10.4,1255.648189,85,0.496
55.6,2011,Developing,371,6.19,26.6,10,1295.649726,8,0.486
55.3,2010,Developing,37,6.15,26,9.7,1182.869227,83,0.48
54.8,2009,Developing,373,5.89,25.4,9.2,123.19538,79,0.473
54.2,2008,Developing,382,5.9,24.9,8.8,1233.524316,82,0.466
53.6,2007,Developing,395,5.44,24.4,8,111.71186,81,0.456
53.3,2006,Developing,394,5.22,23.8,8.2,12.989164,78,0.456
52.8,2005,Developing,4,5.03,23.3,8.3,952.1872484,79,0.456
52.1,2004,Developing,412,4.71,22.8,8.2,93.211716,72,0.455
51.8,2003,Developing,412,4.64,22.3,8.1,824.8689393,72,0.452
51.6,2002,Developing,47,4.58,21.8,8.4,676.397661,66,0.452
51.5,2001,Developing,41,4.43,21.3,7.1,614.6729339,61,0.437
51.4,2000,Developing,394,3.91,2.9,6.9,68.414399,57,0.433
82,2014,Developing,65,8.1,66.4,15.9,544.43376,91,0.912
81.8,2013,Developing,67,8.2,65.8,15.9,52413.72116,91,0.909
81.6,2012,Developing,68,8.3,65.3,15.9,52496.69487,99,0.907
81.5,2011,Developing,68,8.2,64.7,15.9,5282.2176,87,0.903
81.2,2010,Developing,7,8.4,64.1,15.9,47447.4762,88,0.898
81,2009,Developing,72,8.4,63.6,15.9,4773.45436,89,0.898
87,2008,Developing,74,8.3,63,15.8,46596.33599,89,0.897
85,2007,Developing,74,8.3,62.5,15.8,44544.5268,9,0.894
85,2006,Developing,75,8.2,61.9,15.8,4386.69948,95,0.891
81,2005,Developing,76,8,61.3,15.8,36189.58838,93,0.886
80,2004,Developing,77,7.8,6.6,15.8,31979.87195,91,0.881
79.7,2003,Developing,78,7.7,6,15.8,28172.14883,88,0.877
79.5,2002,Developing,79,7.7,59.3,15.8,24167.8431,88,0.872
79.4,2001,Developing,8,7.6,58.5,15.8,23691.59472,88,0.867
79.1,2000,Developing,82,7.6,57.8,15.9,24124.16917,88,0.864
58,2014,Developing,437,0.01,22.1,7.1,377.132274,47,0.345
49.9,2013,Developing,451,0.01,21.6,7.1,337.4849614,23,0.37
53,2012,Developing,439,0.01,21.2,7.1,486.41114,47,0.366
49.8,2011,Developing,443,1.66,2.7,6.8,494.336779,47,0.361
49.2,2010,Developing,446,1.67,2.2,6.6,446.4434494,46,0.352
48.6,2009,Developing,453,1.56,19.8,6.4,449.961839,45,0.345
47.6,2008,Developing,477,1.52,19.4,6.3,456.8614334,46,0.338
46.8,2007,Developing,495,1.5,19,6.2,397.148467,46,0.33
46.3,2006,Developing,56,1.54,18.6,6,347.673678,47,0.323
45.9,2005,Developing,511,1.5,18.2,5.9,327.1149461,47,0.319
45.7,2004,Developing,512,1.5,17.9,5.7,313.21598,45,0.315
45.7,2003,Developing,51,1.49,17.5,5.6,286.25819,44,0.316
45.6,2002,Developing,58,1.47,17.2,5.4,253.768343,42,0.315
45.6,2001,Developing,54,1.52,16.8,5.3,243.1586486,4,0.314
46,2000,Developing,49,1.51,16.5,5.2,243.5429317,38,0.312
52.6,2014,Developing,362,0.01,18.7,7.3,125.998515,44,0.39
52.2,2013,Developing,366,0.64,18.2,7.3,986.13177,46,0.387
51.8,2012,Developing,367,0.62,17.9,7.3,973.472574,51,0.381
51.6,2011,Developing,365,0.56,17.5,6.7,989.2363633,4,0.37
51.2,2010,Developing,364,0.5,17.1,6.7,896.5697341,43,0.36
57,2009,Developing,37,0.47,16.7,6.3,84.455939,32,0.343
49.6,2008,Developing,394,0.45,16.4,6,929.772391,3,0.338
49.4,2007,Developing,394,0.42,16.1,5.7,81.683884,38,0.306
48.5,2006,Developing,414,0.41,15.7,5.5,712.1847694,49,0.303
48.6,2005,Developing,46,0.42,15.4,5.6,66.2421396,37,0.306
48.5,2004,Developing,45,0.34,15.1,5.6,454.6765879,31,0.301
48.4,2003,Developing,43,0.42,14.8,5.4,292.5914364,36,0.284
48.1,2002,Developing,43,0.36,14.4,5.1,22.854821,31,0.303
48,2001,Developing,4,0.3,14.1,4.9,197.3156442,26,0.3
47.6,2000,Developing,44,0.25,13.9,4.7,166.231785,3,0
83,2014,Developing,83,7.16,63.1,16.2,14817.37778,95,0.841
81,2013,Developing,84,7.2,62.5,15.6,15941.39722,9,0.831
79.9,2012,Developing,84,6.76,61.8,15.5,15431.9293,9,0.826
79.8,2011,Developing,86,7.26,61.2,15.4,1475.69242,93,0.82
79.1,2010,Developing,89,7.93,6.6,15.2,1286.17764,92,0.815
79.3,2009,Developing,91,7.67,59.9,15.3,1243.32824,94,0.816
79.6,2008,Developing,88,7.31,59.3,15.2,1781.3668,95,0.804
78.9,2007,Developing,9,7.39,58.7,14.8,1526.87746,95,0.797
78.9,2006,Developing,91,7.33,58.1,14.9,9484.681227,94,0.796
78.4,2005,Developing,93,7.57,57.4,14.6,7615.3468,92,0.79
78,2004,Developing,97,6.32,56.8,14.3,621.828325,94,0.781
77.9,2003,Developing,1,6.37,56.1,14,4787.699532,96,0.775
77.8,2002,Developing,11,6.06,55.4,13.9,4463.545867,97,0.768
77.3,2001,Developing,16,6.1,54.7,13.7,4595.666327,96,0.761
77.3,2000,Developing,13,6.24,54,13.5,511.368479,91,0.755
75.8,2014,Developing,86,5.78,31.9,13.1,7683.5238,99,0.723
75.6,2013,Developing,88,5.79,3.9,12.7,777.77594,99,0.713
75.4,2012,Developing,89,5.74,3,12.4,6337.882993,99,0.703
75.2,2011,Developing,91,5.63,29,12.8,5633.79616,99,0.7
75,2010,Developing,92,5.75,28.1,12.5,456.512487,99,0.691
74.9,2009,Developing,93,4.88,27.3,12.2,3838.434292,99,0.682
74.5,2008,Developing,97,4.27,26.5,11.9,3471.247547,99,0.672
74.4,2007,Developing,96,3.88,25.7,11.4,2695.366223,94,0.659
74.2,2006,Developing,98,3.28,24.9,11,299.229676,94,0.646
73.9,2005,Developing,99,2.92,24.1,10.6,1753.4178,87,0.634
73.5,2004,Developing,11,3.04,23.4,10.2,158.668462,87,0.622
73.1,2003,Developing,13,2.96,22.6,9.9,1288.642924,87,0.61
72.7,2002,Developing,16,2.91,21.9,9.7,1148.5857,86,0.6
72.2,2001,Developing,11,2.84,21.2,9.6,153.1824,86,0.592
71.7,2000,Developing,115,3.06,2.5,9.5,959.372181,86,0.583
74.6,2014,Developing,144,4.38,57.2,13.6,7913.383432,9,0.72
74.4,2013,Developing,145,4.41,56.4,13.3,83.5863,91,0.712
74.3,2012,Developing,143,4.44,55.7,13.2,7884.984429,91,0.707
74.2,2011,Developing,144,4.37,55,13,7227.73968,85,0.7
73.6,2010,Developing,15,4.28,54.2,12.8,625.65544,88,0.695
73.6,2009,Developing,15,4.34,53.5,12.4,5148.422113,92,0.691
73.5,2008,Developing,146,4.45,52.8,12.2,5433.7245,92,0.683
73.5,2007,Developing,144,4.66,52,11.9,4674.21961,93,0.675
73.1,2006,Developing,147,4.53,51.3,11.5,379.78776,94,0.669
73.1,2005,Developing,144,4.38,5.5,11.1,3386.256,93,0.658
72.8,2004,Developing,148,4.26,49.8,11.3,274.249442,89,0.658
72.4,2003,Developing,15,4.25,49,11.6,2246.257472,92,0.659
71.8,2002,Developing,163,4.45,48.2,11.5,2355.725857,83,0.656
71.5,2001,Developing,165,4.43,47.5,11.4,2395.856551,83,0.653
71.4,2000,Developing,167,4.66,46.7,11.3,2472.197831,82,0.65
63.2,2014,Developing,23,0.01,23.7,11.1,852.954379,87,0.497
62.9,2013,Developing,233,0.01,23.2,10.9,834.341949,85,0.49
62.5,2012,Developing,237,0.01,22.6,10.8,788.632653,85,0.484
62.2,2011,Developing,241,0.12,22.1,10.6,829.7586885,85,0.479
61.8,2010,Developing,246,0.15,21.6,10.5,769.1742883,82,0.476
61.3,2009,Developing,251,0.17,21.1,10.3,778.5454199,84,0.465
61,2008,Developing,255,0.12,2.6,10.2,795.97519,81,0.461
66,2007,Developing,259,0.16,2.1,10,72.759313,75,0.459
63,2006,Developing,262,0.25,19.6,9.9,648.38717,69,0.451
60,2005,Developing,266,0.24,19.2,9.7,621.93372,67,0.434
59.8,2004,Developing,269,0.27,18.8,9.5,616.4197236,73,0
59.6,2003,Developing,271,0.26,18.4,9.2,544.566526,8,0
59.5,2002,Developing,271,0.08,18,8.8,433.2691451,98,0
59.5,2001,Developing,272,0.08,17.6,8.5,395.9319363,7,0
59.5,2000,Developing,272,0.09,17.3,8.2,375.8528566,7,0
79.5,2014,Developing,96,3.45,59.5,13.9,1647.44179,91,0.768
79.4,2013,Developing,96,3.42,58.5,13.7,1569.66631,95,0.762
79.2,2012,Developing,97,3.34,57.5,13.6,9985.36959,9,0.758
79,2011,Developing,98,3.41,56.5,13.4,9186.59639,82,0.752
78.1,2010,Developing,16,3.58,55.5,13.3,8199.414621,93,0.749
79.2,2009,Developing,96,4.07,54.4,13.1,689.396224,8,0.747
78.9,2008,Developing,99,4.22,53.4,12.9,6911.136136,89,0.74
78.9,2007,Developing,93,4.2,52.4,12.8,612.623418,89,0.734
78,2006,Developing,16,4.15,51.4,12.6,5245.187372,89,0.727
78.6,2005,Developing,97,4.1,5.3,12.4,4697.11135,91,0.723
77.7,2004,Developing,12,4.09,49.3,12.2,4425.57467,9,0.719
78,2003,Developing,1,4.04,48.3,12.1,4167.71417,88,0.715
78.3,2002,Developing,99,4.17,47.3,11.9,462.14965,94,0.712
77.5,2001,Developing,1,4.29,46.4,11.7,3981.52847,92,0.708
77.6,2000,Developing,98,4.34,45.4,11.6,388.363689,8,0.702
77.8,2014,Developed,97,12.14,63.1,15.1,13467.46827,95,0.82
77.7,2013,Developed,97,12.39,62.5,14.9,13574.749,96,0.817
77.1,2012,Developed,14,11.49,61.9,14.6,13235.97757,96,0.815
77,2011,Developed,14,12.19,61.3,14.5,14539.18421,96,0.808
76.6,2010,Developed,16,12.1,6.6,14.2,1355.74586,97,0.803
76.3,2009,Developed,19,12.21,6,14.2,14157.14416,96,0.803
76,2008,Developed,116,12.06,59.4,14.3,15893.8656,96,0.8
75.8,2007,Developed,114,12.56,58.7,14.3,13546.69872,96,0.793
75.9,2006,Developed,113,11.83,58.1,13.9,11363.41845,96,0.783
75.2,2005,Developed,116,11.59,57.5,13.6,1224.2459,96,0.777
75.4,2004,Developed,114,13.11,56.9,13.3,9365.742468,96,0.771
74.7,2003,Developed,122,13.78,56.3,12.9,785.881418,95,0.765
74.8,2002,Developed,124,13.39,55.8,12.6,653.71637,95,0.759
74.9,2001,Developed,126,13.15,55.2,12.3,5245.421419,94,0.749
74.7,2000,Developed,127,12.73,54.7,12.2,4919.62869,94,0.739
79,2014,Developing,93,4.37,6.7,14,75.5199,99,0.772
78.7,2013,Developing,96,4.18,59.9,14.7,676.15344,99,0.773
78.7,2012,Developing,96,4.16,59.2,15.7,6425.941119,98,0.778
78.8,2011,Developing,92,4.14,58.4,16.5,675.92436,99,0.78
78,2010,Developing,98,4.13,57.7,17.6,5676.14143,99,0.784
78.1,2009,Developing,11,4.01,56.9,17.7,5484.7763,99,0.782
77.9,2008,Developing,12,4.26,56.2,17.1,5376.447622,99,0.771
78.1,2007,Developing,14,4.13,55.4,16,5184.494227,99,0.754
78,2006,Developing,14,4.17,54.6,14.7,4669.6916,99,0.732
77.2,2005,Developing,19,4.48,53.8,14.2,3779.577,99,0.719
77.3,2004,Developing,17,4.38,53,13.2,339.716256,98,0.705
77.4,2003,Developing,18,4.39,52.1,12.9,3192.669378,98,0.694
77.7,2002,Developing,19,4.1,51.3,12.5,2994.339988,98,0.692
76.7,2001,Developing,115,4.04,5.4,12.3,2832.188893,99,0.686
76.9,2000,Developing,115,3.92,49.4,12.1,2741.11542,98,0.679
83,2014,Developed,53,0.01,59.8,14,2734.88382,99,0.85
81,2013,Developed,54,9.04,59.2,13.8,2797.96736,99,0.85
80,2012,Developed,56,10.55,58.7,13.8,28951.15556,99,0.85
79.7,2011,Developed,57,10.69,58.3,13.8,32233.83942,99,0.847
79.5,2010,Developed,59,11.32,57.8,14.6,3818.46396,99,0.853
79.3,2009,Developed,6,10.8,57.3,14.1,3215.8159,99,0.849
79.1,2008,Developed,62,12.01,56.8,13.7,3539.7488,97,0.844
78.9,2007,Developed,63,11.56,56.3,13.5,31386.63265,97,0.836
78.8,2006,Developed,64,11.47,55.8,13.4,27169.99256,97,0.829
78.7,2005,Developed,65,11.41,55.3,13.5,25324.48666,98,0.826
78.6,2004,Developed,65,13.03,54.8,13.4,23932.49128,98,0.823
78.5,2003,Developed,66,10.62,54.3,13,2293.4789,98,0.815
78.4,2002,Developed,68,11.68,53.8,12.5,16372.29152,98,0.805
78.2,2001,Developed,69,10.16,53.3,12.4,1562.92433,97,0.8
78.1,2000,Developed,7,9.56,52.8,12.5,14672.8826,97,0.798
84,2014,Developed,73,9.64,58.4,19.2,62425.5392,94,0.926
81,2013,Developed,75,9.5,58.1,18.7,61191.19263,94,0.924
80,2012,Developed,76,9.26,57.7,18.4,5857.521,94,0.922
79.7,2011,Developed,79,10.47,57.4,16.9,61753.667,91,0.91
79.2,2010,Developed,84,10.28,57,16.8,5841.41122,9,0.906
78.9,2009,Developed,86,10.08,56.6,16.8,58163.29359,89,0.906
78.8,2008,Developed,88,10.7,56.3,16.8,64322.6664,88,0.906
78.4,2007,Developed,93,10.99,55.9,16.7,58487.451,87,0.904
78.1,2006,Developed,93,11.02,55.4,16.9,5226.99311,93,0.902
78.1,2005,Developed,92,11.28,55,16.6,48799.8237,93,0.897
77.7,2004,Developed,98,11.27,54.4,16.5,46511.6457,95,0.893
77.3,2003,Developed,11,11.54,53.9,16.3,4458.7764,96,0.882
77,2002,Developed,14,11.34,53.3,16.6,33228.69291,98,0.875
77,2001,Developed,12,11.56,52.8,16.2,3751.64946,97,0.862
76.9,2000,Developed,12,11.69,52.2,16.5,3743.55917,97,0.86
63,2014,Developing,252,0.38,34.4,6.3,174.91511,78,0.467
62.7,2013,Developing,256,0.53,33.8,6.3,1622.637974,82,0.464
62.2,2012,Developing,263,0.52,33.2,6.3,1536.15685,81,0.46
61.8,2011,Developing,268,0.39,32.7,5.9,143.986898,87,0.451
61.3,2010,Developing,273,0.44,32.2,5.5,1325.99724,88,0.441
69,2009,Developing,279,0.49,31.7,5.3,1253.657431,89,0.436
62,2008,Developing,289,0.49,31.3,5,1214.77118,89,0.427
59.8,2007,Developing,296,0.45,3.9,4.5,147.586896,88,0.416
59.1,2006,Developing,39,1.02,3.6,4.3,965.6693779,72,0.405
58.6,2005,Developing,318,1.23,3.2,4,94.7297489,71,0.396
58.1,2004,Developing,326,1.18,29.8,3.7,864.184726,64,0.388
58,2003,Developing,325,1.02,29.4,3.5,819.974118,68,0.378
57.9,2002,Developing,322,1.03,29,3.3,792.15412,62,0.372
57.7,2001,Developing,323,0.95,28.6,2.9,781.2322196,49,0.363
57.4,2000,Developing,325,1.34,28.2,2.9,768.176767,46,0.361
73.6,2014,Developing,154,5.92,57.9,13.2,6268.692122,9,0.712
73.4,2013,Developing,157,5.93,56.8,13.2,627.55544,82,0.709
72.1,2012,Developing,174,5.93,55.8,13.1,5968.876767,85,0.706
73.1,2011,Developing,16,5.91,54.7,13,5759.643,84,0.703
72.7,2010,Developing,166,6.02,53.6,12.9,5451.6696,85,0.697
73.6,2009,Developing,157,6.05,52.6,12.9,4952.67753,85,0.695
73.3,2008,Developing,161,6.12,51.5,12.8,511.37937,86,0.692
72.9,2007,Developing,164,6.05,5.4,12.7,4647.31359,86,0.685
72.3,2006,Developing,178,6.2,49.3,12.6,3836.468771,88,0.677
69.7,2005,Developing,28,5.71,48.2,12.6,3681.5993,86,0.668
69.3,2004,Developing,214,5.16,47.2,12.5,2421.9662,66,0.666
73,2003,Developing,22,6.32,46.1,12.4,2372.628827,65,0.665
71.4,2002,Developing,189,6.43,45.1,12.3,38.46578,74,0.66
71.2,2001,Developing,188,6.13,44.1,12.3,2862.154836,71,0.656
72,2000,Developing,176,6.58,43.1,12.2,282.4242,71,0.651
76,2014,Developing,121,3.82,53.5,14,6432.216537,84,0.737
76,2013,Developing,121,3.77,52.8,13.4,674.9829,87,0.725
75.5,2012,Developing,127,3.92,52.1,13.3,572.14313,85,0.717
75.3,2011,Developing,131,3.99,51.4,13.2,5223.351763,85,0.71
75,2010,Developing,134,3.95,5.7,13.1,4657.32361,88,0.703
75.1,2009,Developing,137,3.87,5,13.1,4255.56571,91,0.702
74.6,2008,Developing,139,3.76,49.3,13,4274.95265,94,0.698
74.7,2007,Developing,14,3.63,48.6,12.9,359.71886,95,0.696
74.4,2006,Developing,144,3.52,47.9,12.8,335.786541,92,0.693
74.2,2005,Developing,151,3.54,47.2,12.8,321.942547,89,0.688
74.4,2004,Developing,148,3.65,46.5,12.7,278.557892,9,0.682
74.4,2003,Developing,151,3.69,45.8,12.6,244.46898,97,0.679
73.6,2002,Developing,157,3.88,45.1,12.5,2183.966796,88,0.675
73.4,2001,Developing,158,4.13,44.3,12.4,193.741571,9,0.67
72.8,2000,Developing,163,3.99,43.6,12.4,1451.29776,83,0.668
73.3,2014,Developing,181,2.52,55.4,13.2,3988.771871,93,0.676
73,2013,Developing,184,2.42,54.7,13.2,3895.664491,92,0.675
73,2012,Developing,181,2.48,54.1,13.2,3827.786267,93,0.67
72,2011,Developing,197,2.37,53.4,13,3736.58713,9,0.666
72,2010,Developing,191,2.36,52.8,12.9,3474.392445,89,0.662
71.4,2009,Developing,23,2.55,52.1,12.8,3366.482133,91,0.662
71.7,2008,Developing,194,2.68,51.4,13.4,357.347674,98,0.659
71.2,2007,Developing,23,2.83,5.8,12.9,334.83817,99,0.657
75,2006,Developing,211,2.77,5.1,12.9,362.951768,96,0.651
71,2005,Developing,213,2.77,49.4,12.7,2835.281237,89,0.644
70,2004,Developing,215,2.9,48.6,12.4,2632.79942,9,0.636
69.9,2003,Developing,29,3.1,47.8,12,2519.737387,93,0.628
73,2002,Developing,24,2.97,47,11.8,248.4125,81,0.621
68.9,2001,Developing,219,2.88,46.2,11.6,2338.772244,94,0.615
69,2000,Developing,218,2.79,45.3,11.3,2238.4116,98,0.607
57.9,2014,Developing,32,0.01,24,9.2,192.59733,24,0.582
57.4,2013,Developing,327,10.72,23.5,9.2,2246.9938,3,0.586
56.7,2012,Developing,337,11.89,23,9.2,21557.6528,3,0.583
56.2,2011,Developing,344,10.99,22.6,9.2,21451.88617,39,0.58
56.1,2010,Developing,339,9.93,22.1,9.2,17136.44568,59,0.589
55.7,2009,Developing,34,7.97,21.7,9.1,1653.2937,57,0.59
55.4,2008,Developing,338,8.34,21.3,9.1,22742.38159,55,0.592
55,2007,Developing,339,6.86,2.9,9,15761.83913,54,0.587
54.8,2006,Developing,337,7.28,2.5,9,12732.2759,52,0.569
54.4,2005,Developing,337,7.19,2.2,8.7,185.63334,5,0.563
54.1,2004,Developing,336,6.28,19.8,8.5,685.34897,48,0.553
53.8,2003,Developing,334,7.13,19.5,8.4,3577.176197,46,0.554
53.5,2002,Developing,334,6.01,19.1,8.2,2711.17114,44,0.542
53.1,2001,Developing,334,5.07,18.7,8,2283.87939,43,0.527
52.7,2000,Developing,336,4.46,18.3,0,172.68491,41,0
62.9,2011,Developing,286,0.62,16.5,5,582.775532,96,0.405
62.1,2010,Developing,298,0.61,16,5.1,482.14994,9,0.404
61.4,2009,Developing,311,0.63,15.5,5.2,43.7544499,92,0.402
67,2008,Developing,322,0.49,15.1,5.2,326.825642,94,0.406
62,2007,Developing,329,1.23,14.7,5.3,317.3294336,91,0.405
59.7,2006,Developing,336,0.97,14.3,5.3,297.828588,94,0.405
59.4,2005,Developing,34,1.07,13.9,5.4,276.75896,96,0
59.1,2004,Developing,342,0.64,13.6,5,287.4222243,98,0
58.8,2003,Developing,343,0.56,13.3,4.7,232.7945459,95,0
58.5,2002,Developing,343,0.83,13.1,4.4,21.7687981,92,0
58.1,2001,Developing,345,0.61,12.8,4.3,215.139213,89,0
45.3,2000,Developing,593,0.83,12.6,3.9,28.1969487,82,0
77.3,2014,Developing,122,0.01,59.4,16.5,19941.45532,93,0.86
76.9,2013,Developing,127,0.01,59,16.5,1929.7746,94,0.856
76.3,2012,Developing,135,0.01,58.5,16.5,17421.8922,94,0.85
76.1,2011,Developing,138,0.01,58,16.4,17454.84342,93,0.838
75.6,2010,Developing,137,14.97,57.6,16.2,14638.6482,94,0.833
74.9,2009,Developing,156,15.04,57.1,16.1,14726.31828,95,0.836
74.2,2008,Developing,167,16.99,56.7,16.1,1894.5485,95,0.835
73,2007,Developing,189,17.87,56.3,16.1,16586.452,95,0.829
73,2006,Developing,188,16.58,55.9,16.1,12595.4165,95,0.822
72.8,2005,Developing,189,15.52,55.5,15.9,1338.31322,96,0.812
72.3,2004,Developing,195,15.07,55.2,15.7,885.465115,95,0.805
71.9,2003,Developing,199,11.64,54.9,15.6,7174.237415,95,0.798
71.2,2002,Developing,211,11.48,54.6,15.4,538.347781,94,0.791
78,2001,Developing,225,0.01,54.3,15,4498.95727,94,0.781
78,2000,Developing,218,0.01,54,14.4,47.32827,93,0.764
64.2,2014,Developing,234,0.01,17.2,8.4,571.1622759,75,0.435
63.7,2013,Developing,237,1.86,16.8,8.4,52.1535887,7,0.427
63.3,2012,Developing,241,1.84,16.4,8.4,468.567249,7,0.422
62.6,2011,Developing,249,1.32,16,8.2,354.8463544,7,0.411
61.8,2010,Developing,261,1.34,15.6,8.1,341.39992,69,0.401
68,2009,Developing,274,1.17,15.3,8.1,379.7566385,65,0.393
59.8,2008,Developing,289,1.13,14.9,7.6,325.3825543,63,0.378
58.5,2007,Developing,39,1.06,14.5,7.1,243.326822,61,0.362
57.2,2006,Developing,328,1.22,14.2,6.6,193.794956,59,0.346
56,2005,Developing,343,0.99,13.8,5.8,161.6266248,56,0.325
55,2004,Developing,354,0.86,13.5,5.4,135.7623858,54,0.31
54,2003,Developing,363,0.79,13.2,5.2,118.8734466,55,0.306
53.2,2002,Developing,369,0.8,12.9,4.9,111.3634356,55,0.298
52.5,2001,Developing,372,0.85,12.6,4.3,12.1789279,55,0.283
51.2,2000,Developing,391,0.88,12.3,3.9,123.876257,55,0
69.7,2014,Developing,19,0.01,61.9,15.2,546.3728,99,0.727
69.6,2013,Developing,192,0.01,61.1,15,4763.68956,99,0.719
69.4,2012,Developing,195,0.01,6.2,14.9,4546.73854,99,0.714
69.2,2011,Developing,197,0.01,59.5,14.7,4353.121392,99,0.709
69.1,2010,Developing,2,2.25,58.7,14.6,3651.966784,99,0.706
68.9,2009,Developing,23,2.31,58,14.5,3369.48247,99,0.704
68.7,2008,Developing,26,1.95,57.3,14.3,4177.657789,99,0.7
68.6,2007,Developing,29,2.09,56.6,14.2,478.82327,99,0.698
68.5,2006,Developing,211,2.06,55.9,14,3749.939813,98,0.695
68.3,2005,Developing,214,2.02,55.1,13.9,3658.63832,97,0.699
68.1,2004,Developing,218,1.63,54.2,13.4,3332.918533,96,0.691
68,2003,Developing,22,1.76,53.2,13.3,2835.973972,95,0.689
67.9,2002,Developing,22,1.85,52.2,13.3,2259.55796,94,0.687
67.8,2001,Developing,221,1.93,51.2,13.2,238.891729,92,0.683
67.7,2000,Developing,221,2.05,5.2,13.1,276.1338,91,0.681
89,2014,Developing,78,8.8,61.7,17,49914.61864,98,0.89
87,2013,Developing,79,8.97,61.4,17,49638.7713,98,0.887
84,2012,Developing,82,9.24,61,17,47415.55987,99,0.884
83,2011,Developing,86,9.81,6.6,16.9,579.72415,99,0.878
79.9,2010,Developing,89,9.72,6.2,16.8,4622.41516,99,0.874
79.7,2009,Developing,91,9.96,59.8,17,4717.15571,99,0.878
79.6,2008,Developing,94,10.26,59.4,17.1,5341.31487,97,0.876
79.3,2007,Developing,96,10.45,59,17.2,48288.5491,97,0.873
79.2,2006,Developing,96,10.15,58.6,17.2,4112.67651,97,0.869
78.9,2005,Developing,11,9.95,58.1,17.1,38969.17163,97,0.864
78.7,2004,Developing,12,9.89,57.6,18.3,37636.11173,96,0.869
78.4,2003,Developing,98,9.31,57.1,18.1,32816.1688,96,0.866
78.1,2002,Developing,98,9.25,56.6,18,26834.2625,95,0.863
78,2001,Developing,1,8.94,56.1,17.7,24913.24452,95,0.856
77.5,2000,Developing,15,8.59,55.5,17.3,24253.2542,96,0.847
82.2,2014,Developing,79,11.5,62,16.2,42955.24287,98,0.89
82,2013,Developing,81,11.1,61.6,16.2,42554.1225,99,0.887
81.5,2012,Developing,83,11.5,61.1,16.1,4838.2444,99,0.885
81.7,2011,Developing,83,11.8,6.6,16.1,4381.288,99,0.882
81.3,2010,Developing,86,11.7,6.1,16,473.34279,99,0.879
81.1,2009,Developing,88,11.8,59.6,16,41631.13141,98,0.879
89,2008,Developing,88,11.9,59.1,16.1,45413.6571,98,0.877
89,2007,Developing,89,12.2,58.6,16.1,416.58397,99,0.873
86,2006,Developing,92,12.4,58,16.1,36544.5853,99,0.87
81,2005,Developing,93,12.2,57.5,15.5,34879.72633,98,0.86
82,2004,Developing,94,13.18,57,15.5,33874.74255,99,0.857
79.3,2003,Developing,99,13.49,56.4,15.4,29691.18158,96,0.852
79.2,2002,Developing,11,13.78,55.8,15.5,24275.2426,97,0.851
79,2001,Developing,13,13.89,55.2,15.6,22527.31775,98,0.849
78.8,2000,Developing,13,13.63,54.6,15.7,22465.64184,98,0.844
65.5,2014,Developing,237,0.01,35.8,12.6,9692.163874,68,0.687
64.6,2013,Developing,255,8.86,35.2,12.5,9679.742995,77,0.678
63.5,2012,Developing,276,8.3,34.6,12.5,9774.18117,8,0.669
62.8,2011,Developing,289,8.9,34.1,12.5,1716.2258,75,0.664
62.3,2010,Developing,294,8.85,33.5,12.5,8754.113376,68,0.66
61.7,2009,Developing,31,8.64,33,12.4,763.66223,74,0.652
61.6,2008,Developing,298,8.75,32.4,12.4,194.2746,81,0.651
61.6,2007,Developing,291,9.02,31.9,12.4,8352.81711,78,0.645
61.4,2006,Developing,288,8.01,31.4,12.4,727.777345,44,0.646
65,2005,Developing,37,7.72,3.8,12.4,6741.293948,44,0.64
59.7,2004,Developing,322,8.13,3.3,12.3,5685.577736,44,0.64
59.7,2003,Developing,32,6.47,29.8,12.3,4892.11618,44,0.638
